Geneid,SRR1313066,SRR1313067,SRR1313068,SRR1313078,SRR1313090,SRR1313091,SRR1313092,SRR1313094,SRR1313096,SRR1313099,SRR1313101,SRR1313111,SRR1313112,SRR1313113,SRR1313115,SRR1313118,SRR1313120,SRR1313123,SRR1313127,SRR1313128
CYCSP42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224247,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
RNU6-1326P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAD23BP3,1,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1
USP25,697,476,904,676,633,900,314,721,670,516,967,670,813,973,453,868,629,433,808,476
RBPMSLP,3,1,4,28,5,7,2,8,9,11,8,11,4,3,12,10,23,3,9,17
MIR99AHG,72,59,85,1395,107,1172,176,710,253,1008,219,1032,161,465,201,256,1330,198,160,191
RNU6-426P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VDAC2P1,0,0,3,2,1,0,0,0,2,3,0,3,0,0,0,1,10,0,1,0
RPS26P5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SNORD74B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000270071,1,0,6,1,1,10,1,10,2,14,1,22,1,6,3,7,16,0,5,5
ENSG00000270139,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
ENSG00000287066,1,1,2,57,1,8,2,5,4,8,1,9,2,8,2,7,5,2,2,3
ENSG00000280432,1,4,2,50,4,18,4,11,7,23,2,29,3,5,4,8,23,2,4,2
MIR99A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRLET7C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269950,1,3,5,64,7,34,11,39,11,42,10,35,9,13,13,6,71,11,9,8
MIR125B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
