"User Ids","Gene Name","Category","Terms"
"BRCA1","BRCA1 DNA repair associated(BRCA1)","GAD_DISEASE","tumor progression"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Abortion, Spontaneous"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Adenocarcinoma|Pancreatic Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Adenocarcinoma|pancreatic neoplasm|Pancreatic Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Azoospermia|Oligospermia"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Brain Neoplasms|Glioma"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms, Male"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Breast Neoplasms, Male|Mammary Neoplasms|Neoplasms, Prostatic|ovarian neoplasm|Ovarian Neoplasms|Prostatic Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Breast Neoplasms, Male|Mammary Neoplasms|Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Breast Neoplasms, Male|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Carcinoma, Intraductal, Noninfiltrating|Carcinoma, Lobular|Mammary Neoplasms|Noninfiltrating Intraductal Carcinoma|ovarian neoplasm|Ovarian Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Carcinoma, Intraductal, Noninfiltrating|Mammary Neoplasms|Noninfiltrating Intraductal Carcinoma"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Carcinoma|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Carcinoma|Melanoma|Neoplastic Syndromes, Hereditary|Ovarian Neoplasms|Pancreatic Neoplasms|Prostatic Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Cell Transformation, Neoplastic|Ovarian Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Chromosome Breakage|Mammary Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Colonic Neoplasms|Lymphoma|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Colonic Neoplasms|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|DNA Damage|Mammary Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Fallopian Tube Neoplasms|Mammary Neoplasms|ovarian neoplasm|Ovarian Neoplasms|Peritoneal Neoplasms"
"BRCA2","BRCA2 DNA repair associated(BRCA2)","GAD_DISEASE","Breast Neoplasms|Lymphoma|Mammary Neoplasms"
